serie,tipo,ytd_ene_may_2025,ytd_ene_may_2026,var_pct
TOTAL NACIONAL,nacional,52042984,52099592,+0.1
TOTAL NACIONAL,internacional,27137640,26807544,-1.2
TOTAL NACIONAL,total,79180624,78907136,-0.3
Los Cabos,nacional,1176562,1126275,-4.3
Los Cabos,internacional,2193156,2107825,-3.9
Los Cabos,total,3369718,3234100,-4.0
Puerto Vallarta,nacional,1212185,1169826,-3.5
Puerto Vallarta,internacional,2084241,1752410,-15.9
Puerto Vallarta,total,3296426,2922236,-11.4
Mazatlán,nacional,574820,530614,-7.7
Mazatlán,internacional,205860,184657,-10.3
Mazatlán,total,780680,715271,-8.4
