aeropuerto,metrica,tipo,ytd_ene_may_2025,ytd_ene_may_2026,var_pct
Tulum,operaciones,nacional,2377,1908,-19.7
Tulum,operaciones,internacional,3198,2039,-36.2
Tulum,operaciones,total,5575,3947,-29.2
Tulum,pasajeros,nacional,243651,192244,-21.1
Tulum,pasajeros,internacional,375596,231593,-38.3
Tulum,pasajeros,total,619247,423837,-31.6
Cancún,operaciones,nacional,31485,28134,-10.6
Cancún,operaciones,internacional,57661,58471,1.4
Cancún,operaciones,total,89146,86605,-2.9
Cancún,pasajeros,nacional,4006866,3763732,-6.1
Cancún,pasajeros,internacional,9144019,8937353,-2.3
Cancún,pasajeros,total,13150885,12701085,-3.4
