serie,tipo,anio_pico,valor_pico,valor_2025,var_2025_vs_pico_pct,valor_2019,var_2025_vs_2019_pct
Tulum,nacional,2024,605622,588466,-2.8,0,n/a
Tulum,internacional,2025,660179,660179,+0.0,0,n/a
Tulum,total,2025,1248645,1248645,+0.0,0,n/a
Cancún,nacional,2023,11842217,9914244,-16.3,8980396,+10.4
Cancún,internacional,2023,20908194,19564409,-6.4,16501593,+18.6
Cancún,total,2023,32750411,29478653,-10.0,25481989,+15.7
Riviera aérea (CUN+TUL),nacional,2023,11881985,10502710,-11.6,8980396,+17.0
Riviera aérea (CUN+TUL),internacional,2024,20926361,20224588,-3.4,16501593,+22.6
Riviera aérea (CUN+TUL),total,2023,32790179,30727298,-6.3,25481989,+20.6
